TRANS_ID	OPTYPE		OPTIONAL	SOURCE
sz_mz		upload		no		/nfs/exb/zinc22/2dpre_results/sz,/nfs/exb/zinc22/2dpre_results/mz
zinc1to8	upload_zincid	no		/nfs/exb/zinc22/export/full/2d-08
sv		upload		no		/nfs/exb/zinc22/2dpre_results/sv
sv_update	upload_update	no		/nfs/exb/zinc22/2dpre_results/sv
informer	upload		no		/nfs/exb/zinc22/2dpre_results/informer
informer2	upload		no		/nfs/exb/zinc22/2dpre_results/informer
mv		upload		no		/nfs/exb/zinc22/2dpre_results/mv
real		upload		no		/nfs/exb/zinc22/2dpre_results/real
zinc1to17	upload_zincid	no		/nfs/exb/zinc22/export/full/2d-17
zinc1to12	upload_zincid	no		/nfs/exb/zinc22/export/full/2d-12
sd		upload		no		/nfs/exb/zinc22/2dpre_results/sd
zinc3Dv1*	upload_zincid	yes		/nfs/exb/zinc22/2dpre_results/zinc3Dv1
zinc3Dv1_r1*	upload_zincid	yes		/nfs/exb/zinc22/2dpre_results/zinc3Dv1
zinc3Dv1_r2	upload_zincid	no		/nfs/exb/zinc22/2dpre_results/zinc3Dv1
md		upload		no		/nfs/exb/zinc22/2dpre_results/md
md_gn		groupnorm	no		NULL
