                TRANS_ID           OPTYPE OPTIONAL                                                                           SOURCE                         DIFFDEST                          OPTIONS
                  sz_mz*           upload      yes                /nfs/exb/zinc22/2dpre_results/sz,/nfs/exb/zinc22/2dpre_results/mz     /nfs/exb/zinc22/upload_diffs                             NULL
                zinc1to8    upload_zincid       no                                                /nfs/exb/zinc22/export/full/2d-08     /nfs/exb/zinc22/upload_diffs                             NULL
                      sv           upload       no                                                 /nfs/exb/zinc22/2dpre_results/sv     /nfs/exb/zinc22/upload_diffs                             NULL
              sv_update*    upload_update      yes                                                 /nfs/exb/zinc22/2dpre_results/sv     /nfs/exb/zinc22/upload_diffs                             NULL
                informer           upload       no                                           /nfs/exb/zinc22/2dpre_results/informer     /nfs/exb/zinc22/upload_diffs                             NULL
               informer2           upload       no                                           /nfs/exb/zinc22/2dpre_results/informer     /nfs/exb/zinc22/upload_diffs                             NULL
                      mv           upload       no                                                 /nfs/exb/zinc22/2dpre_results/mv     /nfs/exb/zinc22/upload_diffs                             NULL
                    real           upload       no                                               /nfs/exb/zinc22/2dpre_results/real     /nfs/exb/zinc22/upload_diffs                             NULL
               zinc1to17    upload_zincid       no                                                /nfs/exb/zinc22/export/full/2d-17     /nfs/exb/zinc22/upload_diffs                             NULL
               zinc1to12    upload_zincid       no                                                /nfs/exb/zinc22/export/full/2d-12     /nfs/exb/zinc22/upload_diffs                             NULL
                      sd           upload       no                                                 /nfs/exb/zinc22/2dpre_results/sd     /nfs/exb/zinc22/upload_diffs                             NULL
               zinc3Dv1*    upload_zincid      yes                                           /nfs/exb/zinc22/2dpre_results/zinc3Dv1     /nfs/exb/zinc22/upload_diffs                             NULL
            zinc3Dv1_r1*    upload_zincid      yes                                           /nfs/exb/zinc22/2dpre_results/zinc3Dv1     /nfs/exb/zinc22/upload_diffs                             NULL
# i fudged this for n-9-19:5436, n-9-19:5437, n-9-38:5440
             zinc3Dv1_r2    upload_zincid       no                                           /nfs/exb/zinc22/2dpre_results/zinc3Dv1     /nfs/exb/zinc22/upload_diffs                             NULL
                      md           upload       no                                                 /nfs/exb/zinc22/2dpre_results/md     /nfs/exb/zinc22/upload_diffs                             NULL
                  md_gn*        groupnorm      yes                                                                             NULL     /nfs/exb/zinc22/upload_diffs                             NULL
# these were all added for testing, they can be ignored/done later
              sd_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/sd     /nfs/exb/zinc22/upload_diffs                             NULL
            real_reload*           upload      yes                                               /nfs/exb/zinc22/2dpre_results/real     /nfs/exb/zinc22/upload_diffs                             NULL
           informer_rld*           upload      yes                                           /nfs/exb/zinc22/2dpre_results/informer     /nfs/exb/zinc22/upload_diffs                             NULL
            wuxi_reload*           upload      yes                                               /nfs/exb/zinc22/2dpre_results/wuxi     /nfs/exb/zinc22/upload_diffs                             NULL
           mcule_reload*           upload      yes                                       /nfs/exb/zinc22/2dpre_results/mcule_reload     /nfs/exb/zinc22/upload_diffs                             NULL
               s_reload*           upload      yes                                                  /nfs/exb/zinc22/2dpre_results/s     /nfs/exb/zinc22/upload_diffs                             NULL
               m_reload*           upload      yes                                                  /nfs/exb/zinc22/2dpre_results/m     /nfs/exb/zinc22/upload_diffs                             NULL
              su_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/su     /nfs/exb/zinc22/upload_diffs                             NULL
              mu_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/mu     /nfs/exb/zinc22/upload_diffs                             NULL
              sv_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/sv     /nfs/exb/zinc22/upload_diffs                             NULL
              mv_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/mv     /nfs/exb/zinc22/upload_diffs                             NULL
              sx_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/sx     /nfs/exb/zinc22/upload_diffs                             NULL
              mx_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/mx     /nfs/exb/zinc22/upload_diffs                             NULL
              sz_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/sz     /nfs/exb/zinc22/upload_diffs                             NULL
              mz_reload*           upload      yes                                                 /nfs/exb/zinc22/2dpre_results/mz     /nfs/exb/zinc22/upload_diffs                             NULL
# this groupnorm uses a different algorithm- doesn't normalize supplier code entries, just groups them. some databases will have normalized codes & some won't
                  md_gn2        groupnorm       no                                                                             NULL     /nfs/exb/zinc22/upload_diffs                             NULL
# tarball_ids can be found @ /nfs/exj/zinc22/btinglework/data/all_3d_tarball_ids.txt
                 md_diff           diff3d       no                                      /nfs/exj/zinc22/btinglework/output/makemaps     /nfs/exb/zinc22/upload_diffs /nfs/exj/zinc22/btinglework/data/all_3d_tarball_ids.txt
                   wuxi2           upload       no                                              /nfs/exb/zinc22/2dpre_results/wuxi2     /nfs/exb/zinc22/upload_diffs                             NULL
                      sq           upload       no                                                 /nfs/exb/zinc22/2dpre_results/sq     /nfs/exb/zinc22/upload_diffs                             NULL
Q1_EN_screening_selected           upload       no                           /nfs/exb/zinc22/2dpre_results/Q1_EN_screening_selected     /nfs/exb/zinc22/upload_diffs                             NULL
                      mq           upload       no                                                 /nfs/exb/zinc22/2dpre_results/mq     /nfs/exb/zinc22/upload_diffs                             NULL
               gn_test3*        groupnorm      yes                                                                             NULL     /nfs/exb/zinc22/upload_diffs                             NULL
  s_2023_undeplete_test*  update_depleted      yes                                            /nfs/exe/2d/vendors/enamine/2023-10/S     /nfs/exb/zinc22/upload_diffs                             NULL
