sub_est	sup_est	cat_est
n-1-16:5434	1.961740E+05	1.500360E+05	2.377310E+05
n-1-16:5435	1.087368E+07	9.535598E+06	1.812706E+07
n-1-16:5436	3.064199E+08	2.341024E+08	4.984992E+08
n-1-16:5437	1.121228E+08	8.526552E+07	1.797768E+08
n-1-17:5434	8.320670E+07	6.821367E+07	1.389830E+08
n-1-17:5435	7.124394E+07	5.598110E+07	1.167520E+08
n-1-17:5436	2.105141E+08	1.467852E+08	3.222260E+08
n-1-17:5437	1.741472E+08	1.061893E+08	2.342396E+08
n-1-17:5438	1.855215E+08	1.128244E+08	2.505489E+08
n-1-17:5439	1.523653E+08	9.242211E+07	2.067899E+08
n-1-18:5434	3.715560E+08	2.477161E+08	5.505702E+08
n-1-18:5435	1.715233E+08	1.163627E+08	2.563867E+08
n-1-18:5436	1.289597E+08	9.231512E+07	1.958086E+08
n-1-18:5437	1.608463E+08	9.901534E+07	1.986292E+08
n-1-19:5434	5.405720E+05	6.196860E+05	9.874060E+05
n-1-19:5435	7.773057E+07	5.883212E+07	1.226313E+08
n-1-19:5436	1.002489E+08	7.164970E+07	1.555917E+08
n-1-20:5434	8.547336E+07	5.531582E+07	1.228718E+08
n-1-20:5435	1.667440E+08	1.060477E+08	2.182385E+08
n-1-20:5436	1.995662E+08	1.239222E+08	2.801155E+08
n-1-20:5437	1.137248E+08	6.876197E+07	1.560398E+08
n-1-20:5438	2.260019E+08	1.368507E+08	3.106300E+08
n-1-20:5445	1.751437E+08	1.138691E+08	2.109858E+08
n-1-20:5446	1.466729E+08	9.414646E+07	1.926001E+08
n-1-21:5434	4.204640E+05	3.704850E+05	6.292580E+05
n-1-21:5435	1.024667E+08	7.035442E+07	1.497428E+08
n-1-21:5436	1.549726E+08	1.019438E+08	2.238985E+08
n-1-21:5437	1.320340E+08	8.565729E+07	1.908224E+08
n-1-21:5438	1.513066E+08	9.685969E+07	2.185394E+08
n-5-34:5434	3.568766E+08	2.125077E+08	4.004882E+08
n-5-34:5435	1.791789E+08	1.062849E+08	2.084210E+08
n-5-34:5436	3.574000E+08	2.126003E+08	4.065147E+08
n-5-34:5437	3.478349E+08	2.073124E+08	3.976667E+08
n-5-34:5438	3.341732E+08	1.964036E+08	4.498614E+08
n-5-34:5439	3.111946E+08	1.825676E+08	3.386924E+08
n-5-34:5440	1.459192E+08	8.537674E+07	1.488311E+08
n-5-35:5434	2.732860E+08	1.649016E+08	3.723125E+08
n-5-35:5435	2.076045E+08	1.250864E+08	2.839226E+08
n-5-35:5436	2.187341E+08	1.319475E+08	2.992299E+08
n-5-35:5437	2.239670E+08	1.354941E+08	3.068084E+08
n-9-19:5434	2.047494E+07	1.913610E+07	3.663281E+07
n-9-19:5435	4.980891E+08	3.087977E+08	7.029594E+08
n-9-19:5436	6.192415E+08	3.860834E+08	8.712285E+08
n-9-19:5437	8.323498E+08	5.028938E+08	1.149044E+09
n-9-19:5438	4.451722E+08	7.994614E+07	1.783603E+08
n-9-19:5439	5.223466E+08	9.424184E+07	2.067065E+08
n-9-20:5434	1.626000E+03	1.979000E+03	2.833000E+03
n-9-20:5435	2.403131E+08	1.656919E+08	3.108828E+08
n-9-20:5436	1.950563E+08	1.249693E+08	2.725544E+08
n-9-20:5437	2.288962E+08	1.443661E+08	3.200395E+08
n-9-20:5438	2.383848E+08	1.482651E+08	3.342921E+08
n-9-20:5439	1.318790E+08	8.173698E+07	1.851589E+08
